"";"Empleo";"Sueldo";"Empresa";"Ciudad";"Vacantes";"Fecha";"Experiencia";"Contrato";"Area";"Sub-area";"Nivel";"Sector";"Nivel educativo";"Requisitos";"Descripcion";"Serial";"Link"
"1";"Jefe de call center";"$4 a $4,5 millones";"Jefe de call center";"Cartagena";"1";" 3 Abr 2020";"3 años de experiencia";"1884495840";"Comercial, Ventas y Telemercadeo";"Economía";"Profesional";"Consumo masivo";"Universitaria";"";"Importante Cadena de Supermercados en la Ciudad de Cartagena requiere un experto en call center para liderar esta área, diseñando estrategias comerciales, gestionando el desempeño de los operadores de su equipo asegurando el cumplimiento de los objetivos del servicio, supervisando y controlando la gestión del equipo de agentes de call center, así como del cumplimiento de sus objetivos y funciones, analizando los indicadores de gestión a su cargo. Debe ser profesional en carreras administrativas. Indispensable experiencia liderando centros y/o equipos de call center. Conocimientos en herramientas de marketing y ventas.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/jefe-de-call-center/1884495840"
"2";"Jefe de call center";"$4 a $4,5 millones";"Jefe de call center";"Cartagena";"1";" 3 Abr 2020";"3 años de experiencia";"1884495840";"Comercial, Ventas y Telemercadeo";"Economía";"Profesional";"Consumo masivo";"Universitaria";"";"Importante Cadena de Supermercados en la Ciudad de Cartagena requiere un experto en call center para liderar esta área, diseñando estrategias comerciales, gestionando el desempeño de los operadores de su equipo asegurando el cumplimiento de los objetivos del servicio, supervisando y controlando la gestión del equipo de agentes de call center, así como del cumplimiento de sus objetivos y funciones, analizando los indicadores de gestión a su cargo. Debe ser profesional en carreras administrativas. Indispensable experiencia liderando centros y/o equipos de call center. Conocimientos en herramientas de marketing y ventas.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/jefe-de-call-center/1884495840"
"3";"Analista de crédito en sibundoy";"Menos de $1 millón";"Analista de crédito en sibundoy";"Toda Colombia";"1";" 3 Abr 2020";"Menos de un año de experiencia";"Contrato Indefinido";"Administrativa y Financiera";"Comercio internacional";"Profesional Junior";"NULL";"Técnico Laboral";"";"En el Banco W buscamos hombres y mujeres con pasión, calidad humana, amor por el servicio; personas que nos ayuden a convertir en realidad los sueños de los colombianos, por que cambiar vidas es nuestra misión únete a este reto como Analista de Crédito. Ofreciendo créditos a las diferentes personas micro empresarias. Para participar es importante que seas técnico, tecnólogo, debes tener experiencia mínima de 6 meses en ventas de productos y servicios bancarios, con facilidad para cerrar negocios, conseguir clientes y recuperar cartera. Labor totalmente externa, es importante tener medio de transporte; los primeros 4 meses, el contrato será a través de una empresa temporal con sus prestaciones sociales, salario mínimo +comisiones +rodamiento, al quinto mes si tienes buenos resultados, esperamos vincularlos al banco con salario base de 1.484.200+comisiones+rodamiento+prima extra legal al año. Horario de lunes a viernes de 7:30 am a 6:00 pm y sábados medio tiempo de 8:00 AM a 12:00 PM.";"1884495917";"https://www.elempleo.com/co/ofertas-trabajo/analista-de-credito-en-sibundoy/1884495917"
"4";"Coordinador de qa y materiales";"$4 a $4,5 millones";"Coordinador de qa y materiales";"Toda Colombia";"1";" 3 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Proyectos (análisis, desarrollo,...";"Ingeniería civil";"Profesional Senior";"Consultorías / Asesorías";"Universitaria";"";"Profesional en la rama de ingeniería, 10 años de experiencia en proyectos de obras de acueductos o alcantarillados y 5 años de experiencia específica como coordinador QA/QC en proyectos de construcción (Infraestructura de Alcantarillados, Acueductos, Vías, Gas, Caminos, Aeropuertos etc).
""7 años de experiencia específica como coordinador de calidad en proyectos de infraestructura en por lo menos alguno de los siguientes proyectos:
ü un (1) proyecto que incluya la construcción de tuberías con diámetros iguales o superiores a 36” en una longitud no menor a 5 kilómetros.
ü y en por lo menos uno de las siguientes actividades: Un (1) proyecto que incluya el suministro e instalación de equipos mecánicos, eléctricos, de instrumentación y control, para estaciones de bombeo de agua potable o centrales hidroeléctricas con una capacidad total superior de 6 MW
ü Un (1) proyecto que incluya la construcción de estructuras hidráulicas
con un volumen de concreto mayor a 1800 m3""";"1884495999";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-qa-y-materiales/1884495999"
"5";"Coordinador de qa y materiales";"$4 a $4,5 millones";"Coordinador de qa y materiales";"Toda Colombia";"1";" 3 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Proyectos (análisis, desarrollo,...";"Ingeniería civil";"Profesional Senior";"Consultorías / Asesorías";"Universitaria";"";"Profesional en la rama de ingeniería, 10 años de experiencia en proyectos de obras de acueductos o alcantarillados y 5 años de experiencia específica como coordinador QA/QC en proyectos de construcción (Infraestructura de Alcantarillados, Acueductos, Vías, Gas, Caminos, Aeropuertos etc).
""7 años de experiencia específica como coordinador de calidad en proyectos de infraestructura en por lo menos alguno de los siguientes proyectos:
ü un (1) proyecto que incluya la construcción de tuberías con diámetros iguales o superiores a 36” en una longitud no menor a 5 kilómetros.
ü y en por lo menos uno de las siguientes actividades: Un (1) proyecto que incluya el suministro e instalación de equipos mecánicos, eléctricos, de instrumentación y control, para estaciones de bombeo de agua potable o centrales hidroeléctricas con una capacidad total superior de 6 MW
ü Un (1) proyecto que incluya la construcción de estructuras hidráulicas
con un volumen de concreto mayor a 1800 m3""";"1884495999";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-qa-y-materiales/1884495999"
"6";"Coordinador de transporte cartagena";"$2 a $2,5 millones";"Coordinador de transporte cartagena";"Cartagena";"1";" 2 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Distribución o logística de Tran...";"Ingeniería industrial";"Profesional";"NULL";"Tecnológica";"";"Tecnólogo en logística o preferiblemente profesional en Logística , Ingeniería Industrial o Administración de empresas con experiencia de 2 años en transporte de carga a Nivel Nacional , debe contar con conocimientos en normatividad legal de transporte, ubicacion geográfica , negociacion de fletes, contar con base de datos para consecucion vehicular, manejo de transportadores terceros y propios, pagos a transportadores , costos y eficiencias de la operacion de transporte, anticipos, facturacion e indicadores de gestion diaria de la operacion.";"1884378669";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-transporte-cartagena/1884378669"
"7";"Director zonal medico - cartagena 220121";"$5,5 a $6 millones";"Director zonal medico - cartagena 220121";"Cartagena";"1";" 2 Abr 2020";"4 años de experiencia";"1884495414";"Comercial, Ventas y Telemercadeo";"Medicina";"Coordinador supervisor o especialista";"Salud";"Especialización";"";"Importante empresa del Sector Salud requiere Director Zonal Medico, profesional en medicina con especialización en gerencia de salud, administración en salud o afines. Experiencia mínima de cuatro (4) años en administración del recurso humano, administración en EPS, responder por resultados en salud en términos de calidad, costo y riesgo; relación y negociación con prestadores de servicios de salud de la zona e implementación de estrategias de mejoramiento continuo. Tipo de contrato: Indefinido. Salario: $ 6.051.000";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/director-zonal-medico-cartagena-/1884495414"
"8";"Gerente de sede cartagena";"$2 a $2,5 millones";"Gerente de sede cartagena";"Cartagena";"1";" 2 Abr 2020";"3 años de experiencia";"Contrato Por obra o labor";"Comercial, Ventas y Telemercadeo";"Ingeniería industrial";"Profesional";"NULL";"Universitaria";"";"Importante empresa del sector de servicios, requiere para su equipo de trabajo, profesional en Administración de Empresas, Ingeniería Industrial, Economía, Mercadeo o carreras afines con experiencia mínima reciente de tres años en el área comercial - administrativa, preferiblemente del sector de servicios; liderando equipos de trabajo mínimo de 12 personas, manejo de presupuestos, indicadores, informes, estadísticas, seguimiento a ventas, estrategias comerciales, servicio al cliente y todo lo inherente al área operativa y comercial para trabajar en la ciudad de Cartagena. Asignación salarial básica de $2.300.000 más todas las prestaciones sociales de ley, más variables por cumplimiento. Si considera que cumple con la totalidad del perfil y está de acuerdo con las condiciones aplicar a la oferta.";"1884495463";"https://www.elempleo.com/co/ofertas-trabajo/gerente-de-sede-cartagena/1884495463"
"9";"Coordinador de transporte cartagena";"$2 a $2,5 millones";"Coordinador de transporte cartagena";"Cartagena";"1";" 2 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Distribución o logística de Tran...";"Ingeniería industrial";"Profesional";"NULL";"Tecnológica";"";"Tecnólogo en logística o preferiblemente profesional en Logística , Ingeniería Industrial o Administración de empresas con experiencia de 2 años en transporte de carga a Nivel Nacional , debe contar con conocimientos en normatividad legal de transporte, ubicacion geográfica , negociacion de fletes, contar con base de datos para consecucion vehicular, manejo de transportadores terceros y propios, pagos a transportadores , costos y eficiencias de la operacion de transporte, anticipos, facturacion e indicadores de gestion diaria de la operacion.";"1884378669";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-transporte-cartagena/1884378669"
"10";"Gerente de sede cartagena";"$2 a $2,5 millones";"Gerente de sede cartagena";"Cartagena";"1";" 2 Abr 2020";"3 años de experiencia";"Contrato Por obra o labor";"Comercial, Ventas y Telemercadeo";"Ingeniería industrial";"Profesional";"NULL";"Universitaria";"";"Importante empresa del sector de servicios, requiere para su equipo de trabajo, profesional en Administración de Empresas, Ingeniería Industrial, Economía, Mercadeo o carreras afines con experiencia mínima reciente de tres años en el área comercial - administrativa, preferiblemente del sector de servicios; liderando equipos de trabajo mínimo de 12 personas, manejo de presupuestos, indicadores, informes, estadísticas, seguimiento a ventas, estrategias comerciales, servicio al cliente y todo lo inherente al área operativa y comercial para trabajar en la ciudad de Cartagena. Asignación salarial básica de $2.300.000 más todas las prestaciones sociales de ley, más variables por cumplimiento. Si considera que cumple con la totalidad del perfil y está de acuerdo con las condiciones aplicar a la oferta.";"1884495463";"https://www.elempleo.com/co/ofertas-trabajo/gerente-de-sede-cartagena/1884495463"
